identifierHash,eng_country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniorityAsYears
-1.10E+18,United Kingdom,en,147,10,77,26,174,74,104,1,M,TRUE,FALSE,TRUE,TRUE,11,8.88
2.35E+18,Monaco,en,167,8,2,19,170,99,0,0,F,TRUE,FALSE,TRUE,TRUE,12,8.9
6.87E+18,France,fr,137,13,60,33,163,94,10,3,F,TRUE,FALSE,TRUE,FALSE,11,8.9
-4.64E+18,United States,en,131,10,14,122,152,92,7,0,F,TRUE,FALSE,TRUE,FALSE,12,8.88
-5.18E+18,United States,en,167,8,0,25,125,100,0,0,F,FALSE,FALSE,FALSE,TRUE,22,7.93
7.63E+18,Germany,de,130,12,1,47,123,91,0,0,F,TRUE,FALSE,TRUE,FALSE,11,8.88
6.74E+17,Sweden,en,121,0,1140,31,108,94,531,105,F,TRUE,TRUE,FALSE,FALSE,11,8.88
2.55E+18,France,fr,53,9,3,5,106,98,0,0,F,TRUE,FALSE,TRUE,TRUE,11,7.94
3.72E+18,Italy,it,744,13764,51671,0,104,85,1842,0,F,TRUE,FALSE,TRUE,FALSE,14,8.88
3.91E+18,United Kingdom,en,57,8,45,123,92,74,6,2,F,TRUE,FALSE,TRUE,TRUE,11,7.93
-8.29E+18,Italy,it,127,40,863,40,87,89,68,0,M,TRUE,FALSE,TRUE,FALSE,11,8.88
-7.99E+18,United States,en,102,8,0,0,87,98,0,0,F,FALSE,FALSE,FALSE,TRUE,68,7.93
-6.04E+18,Spain,es,46,19,1308,63,87,92,564,36,F,TRUE,FALSE,TRUE,TRUE,11,8.88
8.03E+18,Italy,it,35,9,2,185,87,94,2,0,M,TRUE,FALSE,TRUE,FALSE,11,7.94
-1.01E+18,United States,en,123,8,1,117,86,100,0,0,F,FALSE,FALSE,FALSE,TRUE,55,7.92
1.21E+18,Italy,it,45,8,0,17,84,98.7,0,0,M,TRUE,FALSE,TRUE,TRUE,11,8.88
1.45E+18,Germany,de,48,16,599,22,82,89,1016,32,F,TRUE,FALSE,TRUE,FALSE,11,8.9
-9.22E+18,Spain,es,176,60,276,18,81,92,1,0,F,TRUE,FALSE,TRUE,FALSE,11,7.94
7.32E+17,United Kingdom,en,47,8,0,10,78,98,0,0,F,TRUE,FALSE,TRUE,TRUE,13,8.9
8.74E+18,Spain,es,85,0,115,54,73,90,4,0,M,TRUE,TRUE,FALSE,FALSE,11,8.89
8.32E+18,France,fr,107,3649,310,217,70,98,0,0,M,TRUE,FALSE,TRUE,TRUE,11,8.9
5.15E+18,France,fr,60,9,41,244,70,88,37,14,F,FALSE,FALSE,FALSE,TRUE,11,8.88
6.05E+18,France,fr,73,27,104,8,69,98,182,115,F,TRUE,FALSE,TRUE,FALSE,11,7.92
3.28E+18,Sweden,en,125,500,7044,117,67,90,664,0,F,FALSE,FALSE,FALSE,FALSE,16,7.93
5.72E+18,Italy,it,103,431,7,13,66,93,0,0,F,TRUE,FALSE,TRUE,FALSE,15,8.89
-7.11E+18,France,fr,56,8,727,4,66,83,16,0,F,TRUE,FALSE,TRUE,FALSE,11,8.88
-7.66E+18,Spain,es,51,9,66,13,65,90,1,0,F,TRUE,FALSE,TRUE,TRUE,11,8.88
-6.66E+18,Croatia,en,50,8,0,44,64,93,0,0,F,FALSE,FALSE,FALSE,TRUE,11,7.93
-3.67E+18,United States,en,54,8,5,102,63,98,3,0,M,FALSE,FALSE,FALSE,TRUE,293,8.9
7.93E+18,Italy,it,47,8,4,9,63,98,1,0,F,TRUE,TRUE,FALSE,TRUE,12,7.94
5.99E+18,France,fr,36,12,35,60,62,87,2,2,F,TRUE,FALSE,TRUE,FALSE,12,8.88
-6.11E+18,Latvia,en,40,189,68,15,60,90,2,0,F,FALSE,FALSE,FALSE,FALSE,11,8.89
