country,eng_country
Royaume-Uni,United Kingdom
Monaco,Monaco
France,France
Etats-Unis,United States
Allemagne,Germany
Suède,Sweden
Italie,Italy
Espagne,Spain
Croatie,Croatia
Lettonie,Latvia
Taiwan,Taiwan
Bulgarie,Bulgaria
Chypre,Cyprus
Luxembourg,Luxembourg
Roumanie,Romania
Pays-Bas,Netherlands
Slovaquie,Slovakia
Hong Kong,Hong Kong
Autriche,Austria
Belgique,Belgium
Suisse,Switzerland
Australie,Australia
Pologne,Poland
Grèce,Greece
Portugal,Portugal
Russie,Russia
Finlande,Finland
Slovénie,Slovenia
Danemark,Denmark
Serbie,Serbia
Irlande,Ireland
Canada,Canada
Singapour,Singapore
Ukraine,Ukraine
Lituanie,Lithuania
Chine,China
Japon,Japan
Estonie,Estonia
Islande,Iceland
Kazakhstan,Kazakhstan
Bahamas,Bahamas
Îles Canaries,Canary Islands
Guam,Guam
Malaisie,Malaysia
Brunei Darussalam,Brunei Darussalam
Viet Nam,Vietnam
Hongrie,Hungary
Émirats arabes unis,United Arab Emirates
Bahreïn,Bahrain
Macau,Macau
Honduras,Honduras
Arabie Saoudite,Saudi Arabia
Brésil,Brazil
Norvège,Norway
Liban,Lebanon
Cambodge,Cambodia
Inde,India
Mexique,Mexico
Corée du Sud,South Korea
Kiribati,Kiribati
République tchèque,Czech Republic
Nouvelle Zélande,New Zealand
Egypte,Egypt
Puerto Rico,Puerto Rico
Albanie,Albania
Guadeloupe,Guadeloupe
Laos,Laos
Turquie,Turkey
Paraguay,Paraguay
Maroc,Morocco
Nigeria,Nigeria
Colombie,Colombia
Myanmar,Myanmar
Afghanistan,Afghanistan
Gabon,Gabon
Érythrée,Eritrea
Philippines,Philippines
Arménie,Armenia
Mongolie,Mongolia
Tunisie,Tunisia
Antigua et Barbuda,Antigua and Barbuda
Algérie,Algeria
Chili,Chile
Qatar,Qatar
Réunion,Réunion Island
Îles Vierges britanniques,British Virgin Islands
Jersey,Jersey
Indonésie,Indonesia
Thailande,Thailand
Moldavie,Moldova
Namibie,Namibia
Cote D'Ivoire,Ivory Coast
Guinée,Guinea
Géorgie,Georgia
Jordanie,Jordan
Afrique du Sud,South Africa
Benin,Benin
Kowait,Kuwait
Martinique,Martinique
Angola,Angola
Bermude,Bermuda
Zimbabwe,Zimbabwe
Azerbaïdjan,Azerbaijan
Israel,Israel
Équateur,Ecuador
Argentine,Argentina
Malte,Malta
Burkina Faso,Burkina Faso
Samoa américaines,Samoa
Venezuela,Venezuela
Costa Rica,Costa Rica
Bosnie et Herzegovine,Bosnia and Herzegovine
Vanuatu,Vanuatu
Pérou,Peru
République dominicaine,Dominican Republic
Guernsey,Guernsey
Guyane,Guyana
Barbade,Barbados
Pakistan,Pakistan
Congo,Congo
Madagascar,Madagascar
Djibouti,Djibouti
Sénégal,Senegal
Panama,Panama
Trinidad et Tobago,Trinidad and Tobago
Rwanda,Rwanda
Le Salvador,El Salvador
Mali,Mali
Niger,Niger
Cameroun,Cameroon
Nouvelle Calédonie,New Caledonia
Iles Cayman,Cayman Islands
Sri Lanka,Sri Lanka
Bolivie,Bolivia
Polynésie Française,Polynesia
Ouganda,Uganda
Togo,Togo
Svalbard et Jan Mayen Islands,Svalbard and Jan Mayen Islands
Tajikistan,Tajikistan
Cuba,Cuba
Guatemala,Guatemala
Anguilla,Anguilla
Îles Turques-et-Caïques ,Turks and Caicos Islands
Kenya,Kenya
Jamaique,Jamaica
Biélorussie,Belarus
Oman,Oman
Tanzanie,Tanzania
Belize,Belize
République centrafricaine,Central African Republic
Bangladesh,Bangladesh
Aruba,Aruba
Iran,Iran
Syrie,Syria
Saint Vincent et les Grenadines,Saint Vincent and the Grenadines
Gibraltar,Gibraltar
Géorgie du Sud / Iles Sandwich,South Georgia / Sandwich Islands
Ghana,Ghana
Nepal,Nepal
Grenade,Granada
Éthiopie,Ethiopia
Île Bouvet,Bouvet Island
Botswana,Botswana
Maldives,Maldives
Îles Féroé,Faroe Islands
Liechtenstein,Liechtenstein
Chad,Chad
Andorre,Andorra
Gambie,Gambia
Sainte Lucie,Saint Lucia
Uruguay,Uruguay
Irak,Iraq
Maurice,Mauritius
Nicaragua,Nicaragua
St Barthélémy,St Barthélémy
Macédoine,Macedonia
Îles Vierges (U.S.),Virgin Islands (U.S.)
Iles mineures éloignées des États-Unis,United States Minor Outlying Islands
Fidji,Fiji
Corée du Nord,North Korea
Île Norfolk,Norfolk Island
Kirghizistan,Kyrgyzstan
Haiti,Haiti
Antilles néerlandaises,Antilles
Îles Malouines,Falkland Islands
Zaire,Zaire
Palau,Palau
Zambie,Zambia
Dominique,Dominica
Mauritanie,Mauritania
Libye,Libya
Suriname,Suriname
Uzbekistan,Uzbekistan
Guyana,Guyana
Antarctique,Antartica
Samoa,Samoa
Mayotte,Mayotte
Saint Kitts et Nevis,Saint Kitts and Nevis
Swaziland,Eswatini
Île de Man,Isle of Man
