country,eng_country,sex,nbsellers,meanproductssold,meanproductslisted,meansellerpassrate,totalproductssold,totalproductslisted,meanproductsbought,meanproductswished,meanproductsliked,totalbought,totalwished,totalproductsliked,meanfollowers,meanfollows,percentofappusers,percentofiosusers,meanseniority
Allemagne,Germany,Female,116,4.03,2.72,27.33,468,315,3.05,34.66,35.28,354,4021,4092,9.5,8.9,54,49,3060.336207
Allemagne,Germany,Male,34,2,1,19.15,68,34,1.62,3.38,31.79,55,115,1081,7.8,8.4,79,64,3089.058824
Arménie,Armenia,Female,1,0,25,0,0,25,0,0,1,0,0,1,4,8,,,3201
Australie,Australia,Female,18,0.94,1.33,10.44,17,24,6.11,17.72,209.28,110,319,3767,7.5,9.3,55,55,3103.666667
Australie,Australia,Male,3,6,4,33.33,18,12,8,24,38.33,24,72,115,12.7,8.3,66,66,3085.666667
Autriche,Austria,Female,18,3.28,2.5,38.67,59,45,3.39,31.94,33,61,575,594,6.9,8.4,61,50,3048.222222
Autriche,Austria,Male,5,1.6,0.2,35,8,1,0.8,5,0.8,4,25,4,6.2,8,60,60,3133
Bahamas,Bahamas,Female,1,1,0,0,1,0,0,0,0,0,0,0,4,8,,,2857
Belgique,Belgium,Female,37,2.41,1.89,29.59,89,70,12.03,57.24,20.11,445,2118,744,8.3,8.5,62,48,3041.081081
Belgique,Belgium,Male,8,3.13,1.75,26.13,25,14,0.63,1.13,1.25,5,9,10,8.4,9.3,62,37,3069.625
Bulgarie,Bulgaria,Female,7,22.29,11.71,71.71,156,82,4.86,124.43,120.29,34,871,842,29.1,14.4,71,57,3150.142857
Bulgarie,Bulgaria,Male,3,4.67,0.33,54,14,1,14,633.67,11,42,1901,33,19.7,63.7,100,100,3082.666667
Canada,Canada,Female,3,2.33,0.33,25,7,1,0,1.33,6.33,0,4,19,5.7,8.7,33,33,3085.666667
Chine,China,Female,3,0.67,1,33.33,2,3,24.67,1.67,133.33,74,5,400,11.3,9.7,66,66,3085.333333
Chypre,Cyprus,Female,5,11.2,16.4,55.4,56,82,0,4.2,99,0,21,495,19.2,10,60,40,3130.6
Chypre,Cyprus,Male,1,0,1,0,0,1,0,0,49,0,0,49,8,8,100,100,3199
Croatie,Croatia,Female,10,10.7,6.9,32.6,107,69,0.8,4.7,21.4,8,47,214,15.1,8.8,60,40,3061.7
Danemark,Denmark,Female,22,1.64,1,6.5,36,22,3.5,90.32,175.41,77,1987,3859,8.9,9.5,59,59,3043.909091
