country,eng_country,sellers,topsellers,topsellerratio,femalesellersratio,topfemalesellersratio,femalesellers,malesellers,topfemalesellers,topmalesellers,countrysoldratio,bestsoldratio,toptotalproductssold,totalproductssold,toptotalproductslisted,totalproductslisted,topmeanproductssold,topmeanproductslisted,meanproductssold,meanproductslisted,meanofflinedays,topmeanofflinedays,meanfollowers,meanfollowing,topmeanfollowers,topmeanfollowing
Taiwan,Taiwan,1,1,100,100,100,1,0,1,0,1.02,1.02,57,57,56,56,57,56,57,56,11,11,83,8,83,8
Slovaquie,Slovakia,2,1,50,0,0,0,2,0,1,2,1.93,27,28,14,14,27,14,14,7,17,15,10.5,8.5,15,8
Lettonie,Latvia,4,2,50,100,100,4,0,2,0,2.31,2.25,81,83,36,36,40.5,18,20.75,9,120.3,11.5,21,52.3,38,98.5
Bulgarie,Bulgaria,9,4,44.4,66.7,100,6,3,4,0,2.07,2.1,145,170,69,82,36.25,17.25,18.88888889,9.111111111,98.3,19,28.6,31.6,46.3,19
Chypre,Cyprus,4,1,25,100,100,4,0,1,0,0.69,0.62,41,56,66,81,41,66,14,20.25,17.3,11,21.3,10.3,39,17
Monaco,Monaco,5,1,20,100,100,5,0,1,0,7.31,8.95,170,190,19,26,170,19,38,5.2,51.6,12,39.6,8,167,8
Roumanie,Romania,13,2,15.4,76.9,50,10,3,1,1,0.88,1.26,49,68,39,77,24.5,19.5,5.230769231,5.923076923,121.6,11,10.9,11.5,30,32
Luxembourg,Luxembourg,7,1,14.3,85.7,100,6,1,1,0,5.38,,30,43,0,8,30,0,6.142857143,1.142857143,73.6,11,15.9,8.4,52,3
Espagne,Spain,119,13,10.9,81.5,76.9,97,22,10,3,1.67,2.02,607,990,301,594,46.69230769,23.15384615,8.319327731,4.991596639,202.4,30.5,16.1,14.6,53.2,14.5
Italie,Italy,347,35,10.1,71.5,65.7,248,99,23,12,1.27,1.29,1389,2820,1077,2218,39.68571429,30.77142857,8.126801153,6.391930836,141.8,26.5,16.1,54.6,63.4,429.3
Croatie,Croatia,10,1,10,100,100,10,0,1,0,1.55,1.45,64,107,44,69,64,44,10.7,6.9,141.7,11,15.1,8.8,50,8
Hong Kong,Hong Kong,10,1,10,70,100,7,3,1,0,0.91,0.66,23,50,35,55,23,35,5,5.5,49.6,11,14.7,15.5,36,41
Suède,Sweden,32,3,9.4,81.3,66.7,26,6,2,1,1.45,1.29,202,336,156,231,67.33333333,52,10.5,7.21875,118.2,12.7,19.8,24,102.7,172
Royaume-Uni,United Kingdom,289,21,7.3,80.3,85.7,232,57,18,3,1.95,2.16,972,1806,449,927,46.28571429,21.38095238,6.249134948,3.207612457,188.1,32.4,10.1,8.8,37.3,9.1
Autriche,Austria,18,1,5.6,77.8,100,14,4,1,0,1.81,1,20,67,20,37,20,20,3.722222222,2.055555556,138.7,11,7,8.6,17,10
Allemagne,Germany,105,5,4.8,75.2,80,79,26,4,1,2.03,2.85,282,536,99,264,56.4,19.8,5.104761905,2.514285714,168.2,79.4,10.7,8.8,53.2,10.6
Etats-Unis,United States,150,6,4,78.7,83.3,118,32,5,1,1.19,1.3,558,967,428,816,93,71.33333333,6.446666667,5.44,266.1,76.8,14.6,10.2,105,17.2
Pays-Bas,Netherlands,54,2,3.7,77.8,50,42,12,1,1,1.54,1.74,47,214,27,139,23.5,13.5,3.962962963,2.574074074,177.4,22,11.4,9.6,21.5,10
France,France,713,25,3.5,73.4,80,523,190,20,5,1.59,1.4,1109,3014,792,1892,44.36,31.68,4.227208976,2.653576438,227.1,36.6,8.9,28.3,41.3,156.2
